Area_id,Area,Initial_assessment,Total_owed_prevention/relief_duty,Prevention_duty,Temporary_tenancy_expires,Relief_duty,No_duty_owned,No_of_households,Household_threatened_homelessness,Household_assessed_homeless
E92000001,ENGLAND,"83,240","79,840","37,890","6,440","41,950","3,410","24,041",1.58,1.75
E12000007,London,"14,870","14,320","6,430","1,190","7,890",550,"3,630",1.77,2.17
,Rest of England,"68,370","65,510","31,450","5,250","34,060","2,860","20,411",1.54,1.67
,,,,,,,,,,
E12000001,North East,"5,110","4,990","2,660",290,"2,330",120,"1,192", 2.24 , 1.95 
E12000002,North West,"12,380","12,060","5,380","1,090","6,680",330,"3,214", 1.67 , 2.08 
E12000003,Yorkshire and The Humber,"8,250","8,070","4,070",570,"4,000",180,"2,370", 1.72 , 1.69 
E12000004,East Midlands,"6,390","6,270","3,120",560,"3,150",120,"2,091", 1.49 , 1.51 
E12000005,West Midlands,"8,310","8,040","3,140",420,"4,890",270,"2,497", 1.26 , 1.96 
E12000006,East of England,"8,340","7,640","3,890",640,"3,750",700,"2,652", 1.47 , 1.42 
E12000007,London,"14,870","14,320","6,430","1,190","7,890",550,"3,630", 1.77 , 2.17 
E12000008,South East,"11,860","10,930","5,900","1,060","5,030",930,"3,885", 1.52 , 1.29 
E12000009,South West,"7,730","7,520","3,290",620,"4,230",210,"2,509", 1.31 , 1.69 
,,,,,,,,,,
E07000223,Adur,48,47,15,10,32,1,29, 0.52 , 1.12 
E07000026,Allerdale,124,124,65,0,59,0,44, 1.47 , 1.33 
E07000032,Amber Valley,165,157,92,11,65,8,58, 1.59 , 1.12 
E07000224,Arun,275,230,121,36,109,45,75, 1.62 , 1.46 
E07000170,Ashfield,179,178,85,8,93,1,58, 1.46 , 1.60 
E07000105,Ashford,165,165,80,20,85,0,57, 1.41 , 1.50 
E07000200,Babergh,101,101,64,5,37,0,42, 1.53 , 0.88 
E09000002,Barking & Dagenham,339,325,168,13,157,14,80, 2.11 , 1.97 
E09000003,Barnet,616,594,257,62,337,22,156, 1.65 , 2.16 
E08000016,Barnsley,249,248,94,18,154,1,113, 0.83 , 1.37 
E07000027,Barrow-in-Furness,86,83,39,16,44,3,31, 1.25 , 1.41 
E07000066,Basildon,217,216,46,9,170,1,78, 0.59 , 2.18 
E07000084,Basingstoke & Deane,155,153,105,14,48,2,75, 1.40 , 0.64 
E07000171,Bassetlaw,97,95,48,4,47,2,52, 0.92 , 0.90 
E06000022,Bath & North East Somerset,159,159,90,22,69,0,81, 1.11 , 0.85 
E06000055,Bedford,352,349,161,22,188,3,73, 2.20 , 2.57 
E09000004,Bexley,192,189,116,51,73,3,101, 1.14 , 0.72 
E08000025,Birmingham,"1,585","1,550",633,92,917,35,431, 1.47 , 2.13 
E07000129,Blaby,125,123,63,2,60,2,45, 1.39 , 1.32 
E06000008,Blackburn with Darwen,274,263,149,5,114,11,58, 2.58 , 1.97 
E06000009,Blackpool,517,502,241,82,261,15,63, 3.83 , 4.15 
E07000033,Bolsover,86,86,61,34,25,0,37, 1.66 , 0.68 
E08000001,Bolton,650,586,234,20,352,64,122, 1.92 , 2.88 
E07000136,Boston,..,..,..,..,..,..,30, .. , .. 
E06000058,"Bournemouth, Christchurch and Poole",639,637,244,13,393,2,177, 1.38 , 2.23 
E06000036,Bracknell Forest,203,156,107,8,49,47,51, 2.08 , 0.95 
E08000032,Bradford,706,658,376,66,282,48,208, 1.81 , 1.36 
E07000067,Braintree,105,105,68,7,37,0,66, 1.03 , 0.56 
E07000143,Breckland,156,156,51,11,105,0,62, 0.82 , 1.70 
E09000005,Brent,790,766,232,64,534,24,119, 1.95 , 4.48 
